Someone childishly turns his back on someone and rockets skyward. At night, puddles (A) drives unto a cold forest overlook. (B) off in the darkness, someone and someone watch a ride - - with a rifle as he peers across the like preppy skyline. (C) dot the road dark to new lamps. (D) teens run through the streets.	dot the road dark to new lamps.
Someone dances up in his face. He (A) touches his head again. (B) looks up at someone, nods, nods slightly. (C) lifts his eyes, then glances back to someone, who smiles. (D) fires a gatling gun at someone, who shoots downward.	looks up at someone, nods, nods slightly.
He silences the pair, hand out, palm down. In another larger bedroom, plain white linen curtains (A) hang out from under four overhead lights that have faded corners on the metal floor. (B) fall aside, revealing a dotted cloth adorned with black marker. (C) are opened behind a door. (D) hang from outside in inch gauze check along exposed isildur.	fall aside, revealing a dotted cloth adorned with black marker.
The male falls to the ground. The male (A) pushes water as the dog take a turn. (B) swaying the street the right. (C) mounts the blade and jabs again on the person. (D) sits up with a towel on his wound.	sits up with a towel on his wound.
It floats towards the desk at the far side of the room. He (A) watches from it to the apartment. (B) follows the spinning basin, the pensieve, to the desk, where it lands, lightly. (C) sees someone slide down the hall from his back, unable to keep his tears. (D) starts the car that runs out of a door while another person watches on the floor.	follows the spinning basin, the pensieve, to the desk, where it lands, lightly.
Someone's eyes baled with anger. At the army camp, someone (A) abandon the fire to the village. (B) is sitting on own. (C) takes some food from a wound. (D) hands a baby to his opponent's other and kisses it.	is sitting on own.
The man then takes the iron straight to the fabric and begins to glide the iron over the material and the words on the screen indicate that it's to melt the wax into the skin using low temperature to avoid burning the skin. The iron is put down and the focus (A) goes to a close up shot of the purple material that just had wax melted onto it. (B) comes off and a window job shows it on sunny day; a black man's name is shown on the screen. (C) is now on the woman exercising with people smoking from it. (D) is growing six.	goes to a close up shot of the purple material that just had wax melted onto it.
Water rains down lightly inside the sleek room - sized space. Someone (A) bends down and spreads a cloth with a seal. (B) climbs over a rock barrier carrying a yellow supply bag. (C) looks up, one arm ruffling his hair. (D) rises on his front and back, securing his legs around the handle of the lounge chair.	climbs over a rock barrier carrying a yellow supply bag.
They count piles of money with nobly skinny fingers. The clerk (A) gives out some more bills with the finger. (B) raise the cloth - to - bye left - face. (C) puts down his quill. (D) turn on to an image of hundreds of hopeless citizens on the staircase, into a center of a space.	puts down his quill.
A guy puts a black cat on the kitchen floor. The guy (A) adjusts the cats paw. (B) watches sticking the canister foot up. (C) passes an electric knife on a counter. (D) adds a folded piece of pancake.	adjusts the cats paw.
