question: What instrument became the predominant keyboard during the classical era?	the piano
question: What type of Ottoman poetry is ritualized?	Divan poetry
question: America dropped what on August 6, 1945?	atomic bomb
question: What considerations are weighed during the consultations?	whether the species will be harmed, whether the habitat will be harmed and if the action will aid or hinder the recovery
question: What color is created when the alloys of copper and aluminium are combined?	golden
question: Which of CBC's channels were required to be relocated or reduced in power?	52 to 69
question: What is act 21 of 2000 in Namibia?	Namibia Tourism Board Act, 2000
question: When did John begin his final campaign to reclaim Normandy?	1214
question: What does Archibald Sayce think early Sumerian pictograms suggest about the availability of stone?	was scarce
question: What kinds of programs did Attenborough favor?	documentaries
question: How many more text votes were there in season eight of American Idol over season seven? 	100 million
question: Other than CD parameters, what else can be used as parameter references?	Digital Audio Tape (DAT) SP
question: Is precipitation varied or uniform in Western Alaska?	tremendous amount of variety
question: What is absent in a coreless DC motor?	iron core
question: Which song by Jay Z talked about the pregnancy struggles?	Glory
question: What are these properties?	low density, low viscosity, and the highest specific heat and thermal conductivity of all gases
question: For how many consecutive days did the PS3 Slim hold the number-one spot on Amazon.com?	fifteen
question: Besides Chelsea, City Island, and Great Island, what other community, locality, or place name is included in the city?	Venice Park
question: Where did the degrees of Freemasonry derived from?	the three grades of medieval craft guilds
question: Along with grammar and pronunciation, what distinguishes a dialect?	vocabulary
question: In which AMA category did Kanye lose in 2004?	Best New Artist
question: An edited text compiled through many sources is known as what?	eclectic.
question: What is a 'lead out'?	wide-pitched section
question: What do some environmentalists assert reintroducing predators would achieve?	same end
question: Where do migrating birds visit?	the same wintering sites year after year
question: Who defined mammalian as the crown group mammals?	Timothy Rowe
question: Which character is chastised in the book for marrying a black woman?	Dolphus Raymond
question: What types of programs were not shown on BBC Two?	soap opera or standard news programming
question: What was created at Notre Dame in 1962 to assist first year students?	The First Year of Studies program
question: What direction is Norfolk Island in relation to Australia?	east
question: What type of visual character is achieved by using the pointed arch?	more vertical visual character
question: How many times was Professor Stefan Grimm's email viewed in the first four days after it was posted online?	more than 100,000
