suppose having a weak immune system happens, how will it affect MORE cells being damaged. (A) more (B) less (C) no effect [SEP] The flu virus has receptors, which are like viral Velcro, on the surface of the virus particle The receptors will lock onto a target cell using these chemical receptors on the surface, which docks onto the cell surface The receptors  then go into the cell The receptors use it like a factory The receptors take it over and make it produce thousands or in some cases millions of copies of new viruses The copies come streaming out of the cell The copies infect other cells to make more viruses, or they escape from the body and infect a new victim 	more
suppose there is more rain happens, how will it affect LESS SEVERE disease occurring. (A) more (B) less (C) no effect [SEP] Someone is infected with bacteria That bacteria begins to grow and reproduce inside the cells The dividing bacteria begin to make toxins Those toxins damage your cells Disease symptoms may begin.	no effect
suppose freezer is cold happens, how will it affect MORE vegetables. (A) more (B) less (C) no effect [SEP] You plant vegetable seeds in the ground You water the seeds You wait for the seeds to sprout You keep the area free of pests and weeds while the plants grow You thin out the plants as they get bigger to give them space to grow You remove the vegetables from the plants when they are ripe.	no effect
suppose If lungs are working properly happens, how will it affect less air goes through them. (A) more (B) less (C) no effect [SEP] Air is brought in through the mouth Passes through the lungs And into the bronchial tissue The carbon dioxide is removed The lungs bring the oxygen to the rest of the body.	less
suppose if the green color specter increases happens, how will it affect lesss sunlight gets absorbed by the plant. (A) more (B) less (C) no effect [SEP] Green is a color that gathers sunlight easily Sunlight is gathered by the leaves of the plant The sunlight is broken down into glucose through photosynthesis The glucose travels the plant The plant uses that glucose as energy to grow.	less
suppose the water is not touched by rock happens, how will it affect more parents incubate eggs. (A) more (B) less (C) no effect [SEP] A male and female bird mate The female lays eggs The eggs are incubated by the parents, by sitting on them, for weeks The bird hatches from an egg The parents feed them as the continue to grow Develop flight feathers The parents teach them to fly After learning to fly they leave the nest to live on their own The next year they breed beginning the cycle again 	no effect
suppose there is more liquid drunk happens, how will it affect less waste is passed to the bladder. (A) more (B) less (C) no effect [SEP] The kidneys receive blood from the renal artery They process it with millions of tiny nephrons Remove all the waste The kidneys return the blood back to the body through the renal artery Send the urine with the waste to the bladder through the ureters.	more
suppose the lid on the container fails happens, how will it affect LESS sugar and oxygen being produced. (A) more (B) less (C) no effect [SEP] Carbon dioxide passes through stomata in the leaves Water is absorbed through roots Chloroplast cells in leaves contain chlorophyll Chlorophyll absorbs energy from sunlight Energy splits water molecules into hydrogen and oxygen Oxygen gets released into atmosphere Hydrogen and carbon dioxide used to create glucose Glucose is food for plants.	no effect
suppose Heat caused by more global warming causes infertility happens, how will it affect more heat cannot escape glass. (A) more (B) less (C) no effect [SEP] Sunlight passes through the glass into the greenhouse The plants and floor absorb the the sunlight The absorbed sunlight is converted to heat The heat cannot escape the glass The heat is trapped in the greenhouse The hot air rises The colder air at the top is pushed to the bottom The colder air is then warmed by the floor and the plants.	no effect
suppose there is more gravity happens, how will it affect less movement along the sloping surface. (A) more (B) less (C) no effect [SEP] Sediment transport is the movement of solid particles (sediment) The movement is due to a combination of gravity acting on the sediment, and/or the movement of the fluid in which the sediment is entrained Sediment transport occurs in natural systems where the particles are clastic rocks (sand, gravel, boulders, etc.), mud, or clay The fluid is air, water, or ice And the force of gravity acts to move the particles along the sloping surface on which they are resting Sediment transport due to fluid motion occurs in rivers, oceans, lakes, seas, and other bodies of water due to currents and tides Transport is also caused by glaciers as they flow 	less
suppose a freeze decreases spore germination happens, how will it affect STRONGER echolocation. (A) more (B) less (C) no effect [SEP] Bats fly through an area The bat makes sounds with their mouth or nose The sound waves travel away from the bat The sound waves hit objects The sound waves bounce off the objects back towards the bat The bat hears the sound waves echoing off the objects The bat knows where the objects are because of where the sound echoed from The bat doesn't hurt itself by hitting the objects.	no effect
suppose geothermal plants are built happens, how will it affect less magma explodes to the surface. (A) more (B) less (C) no effect [SEP] Magma rises through cracks in the Earth&#x27;s crust The pressure causes plates to move Magma explodes to the surface The lava from the eruption cools to form new crust After several eruptions, the rock builds up and a volcano forms 	more
suppose sediments can build on top of the animals happens, how will it affect HELPING the dishwasher to clean better. (A) more (B) less (C) no effect [SEP] Dirty dishes are placed in the dishwasher The dishwasher is closed The dishwasher heats water to a hotter temperature The dishwasher directs water toward the dishes through jets The dishwasher adds detergent The dirty water drains out The dishwasher sprays more water to rinse the dishes off The water drains out again The dishwasher directs warm air toward the dishes to dry them The dishes can be removed.	no effect
suppose blood sugar drops less happens, how will it affect LESS regulation of blood sugar level being needed. (A) more (B) less (C) no effect [SEP] The blood sugar drops in a body Cells in the pancrease release glucagon The liver in response turns the glucagon into glucose And releases it into the blood The blood sugar levels are restored.	more
suppose there is more pressure happens, how will it affect there is more new crust that forms. (A) more (B) less (C) no effect [SEP] Magma rises through cracks in the Earth&#x27;s crust The pressure causes plates to move Magma explodes to the surface The lava from the eruption cools to form new crust After several eruptions, the rock builds up and a volcano forms 	more
suppose the person wants a lighter textured fluffier cake happens, how will it affect a BIGGER cake. (A) more (B) less (C) no effect [SEP] To bake a cake you first need to gather your ingredients Preheat the oven to desired baking temperature Grease your preferred cake pan with crisco or butter or other non-stick spray Add eggs and vegetable oil to the dry ingredients Stir or whisk until all the dry flour has been absorbed Pour the batter into the greased cake pan Place cake pan into the oven for the required time When a toothpick inserted into the cake comes out clean, the cake is done baking 	more
suppose a person has a damage immune system already happens, how will it affect more contact is made with a virus. (A) more (B) less (C) no effect [SEP] Contact is made with a virus The virus enters the human or animal body The virus goes to the part of the body that contains its food The virus consumes part of the body or materials that the body uses The virus replicates and spreads The virus causes symptoms in the body as the immune system tries to expel the virus.	more
suppose more aluminum is re-melted happens, how will it affect MORE ice cubes being made. (A) more (B) less (C) no effect [SEP] You take a tray Add water into the tray You insert the tray into a freezer The water molecules begin to slow down The water becomes ice The ice cubes are ready.	no effect
suppose the ground is open happens, how will it affect more mycelium grows. (A) more (B) less (C) no effect [SEP] Spores are dispersed into the air by a mature mushroom The spores fall to the ground The spores germinate The spores begin to grow mycelium The mycelium begin to sprout a bud A new mushroom is formed.	more
suppose If there is a flood happens, how will it affect MORE or LARGER caverns. (A) more (B) less (C) no effect [SEP] Water from the surface seeps below the soil The water comes into contact with the rock below The rock over the years carves through the rock The space in the rock becomes larger and forms into a cave As more rather rushes through the cave becomes a cavern.	more
suppose more seeds sprouted happens, how will it affect a person's breathing is more shallow. (A) more (B) less (C) no effect [SEP] A person breathes in oxygen The oxygen passes through the bronchial tubes to the lungs The oxygen is moved into the bloodstream Circulates through the body The cells in the body exchange the oxygen with carbon dioxide The bloodstream carries the carbon dioxide back to the lungs The lungs expel the carbon dioxide through the nose and mouth.	no effect
suppose the sediment is trapped away from the wind happens, how will it affect MORE sediment being transported. (A) more (B) less (C) no effect [SEP] Sediment settles in a place due to gravity The sediment breaks down into small particles Wind or water picks up the sediment The sediment travels along the same route as the wind or water The sediment is deposited at new locations by the wind or water The sediment is picked up again by new wind or water The sediment travels further The sediment is deposited again in a new place.	less
suppose You have more heart disease happens, how will it affect Blood is carried less efficiently in the body. (A) more (B) less (C) no effect [SEP] You inhale The air enters the mouth and nose The diaphragm contracts Air fills all the sacks in the lungs Oxygen passes through the sacks into capillaries The blood is passed to the blood in the capillaries The blood carries the oxygen to the heart The heart pumps the oxygenated blood to the body.	more
suppose other solar systems are more distant providing less additional energy happens, how will it affect the mass decreases. (A) more (B) less (C) no effect [SEP] A red giant burns mass This mass creates high core temperatures The mass decreases The red giant can no longer fuse the carbon and oxygen in its center The gravity of the star can no longer hold the outside layers The layers break away Only the inner core remains This inner core is known as a white dwarf.	less
suppose more cans are thrown away into a recycling bin happens, how will it affect LESS sediment being transported. (A) more (B) less (C) no effect [SEP] Sediment becomes loose from the rest of the soil The sediment rolls down hill towards a river The heavy items sink to the bottom The lighter items float on the top and in convection cycles As the river flows the sediment is moved The sediment gets dumped through tributaries into lakes and the ocean The sediment keeps moving around the world in convection currents.	no effect
suppose there is more magma to cool happens, how will it affect explosions will occur less often. (A) more (B) less (C) no effect [SEP] Gases cause pressure beneath the earth The gases come to a head and push molten magma to the surface The magma cools With enough time the pressure builds up greatly The resulting volcano may explode.	more
suppose More sediment had been pressed together happens, how will it affect less sedimentary rocks will form. (A) more (B) less (C) no effect [SEP] Wind or water breaks small pieces off of a rock The wind or water deposits tiny rocks The rocks become known as sediment The layers of sediment are pressed together by other layers of sediment on top Minerals from the rocks in the sediment dissolve Minerals glue the sediment together into a single rock.	less
